@AppleSupport are the call centres closed for the night?,,,,,,,,,,,,,,,,,COMPLAIN,(OR SUGGEST)
@AppleSupport Why does the screen keep changing brightness levels on its own though I turned off auto- brightness feature?,,,,,,,,,,,,,,,,,,
@AppleSupport how do I accept a family sharing invitation when it keeps coming through as invalid?,,,,,,,,,,,,,,,,,,
@165495 @AppleSupport Any problems with that one?,,,,,,,,,,,,,,,,,,
@165495 @AppleSupport Do you know which update she had after that newest one?,,,,,,,,,,,,,,,,,,
@165495 @AppleSupport Which iPhone?,,,,,,,,,,,,,,,,,,
My iphone 7 is complete SHIT after this iOS 11 update. @115858 @AppleSupport What is going on over there?,,,,,,,,,,,,,,,,,,
@AppleSupport your system was down @ UnionSquare store in SF so couldn't get new phone during my appt. Can you tell me when it's up again?,,,,,,,,,,,,,,,,,,
@AppleSupport Ok so why are all my pictures in my library blurred out and have an exclamation mark on the bottom right corner??! #help,,,,,,,,,,,,,,,,,,
@AppleSupport Why didn't my IPhone 7 come with a headset adapter?,,,,,,,,,,,,,,,,,,
"@AppleSupport Hi Apple Support, I need to send a complaint about some service I received. Where can I do this?",,,,,,,,,,,,,,,,,,
"@AppleSupport I bought a white silicone iPhone case about two weeks ago, and it has discoloured already. Will this be able to be exchanged?",,,,,,,,,,,,,,,,,,
@AppleSupport I'm going to get an iPhone 7 next month and I was wondering if downloading a paid app from my old iCloud was possible?,,,,,,,,,,,,,,,,,,
@AppleSupport is there any sort of warranty on the leather iphone cases?,,,,,,,,,,,,,,,,,,
@AppleSupport Just got news that 2 incidents reported that iPhone 8 plus battery burst while charging. Is it true ?,,,,,,,,,,,,,,,,,,
@AppleSupport is there a reason my computer randomly started updating in the middle of my homework? lol,,,,,,,,,,,,,,,,,,
"@AppleSupport Hi, my Iphone is into an infinite restarting loop after updating to iOS 11, there's any helpful links about this?",,,,,,,,,,,,,,,,,,
@AppleSupport are you still here?,,,,,,,,,,,,,,,,,,
@AppleSupport any reason @129941 keeps crashing on iPhone 8 plus iOS 11.0.1?,,,,,,,,,,,,,,,,,,
@AppleSupport would you be able to check my battery health for me please?,,,,,,,,,,,,,,,,,,
@AppleSupport Can I damage my Apple cord or what ever is in the lighting cord plug by yanking it?,,,,,,,,,,,,,,,,,,
"@AppleSupport Hi, when I misspelled words, and tapped them, a suggestion for autocorrect used to appear above the word. Stopped happening?",,,,,,,,,,,,,,,,,,
Con el iOS 11 no esta el efecto de decolorado AHORA COMO SE SUPONE QUE VOY A SUBIR FOTOS A INSTA? Quiero llorar @AppleSupport hagan algooooo,,,,,,,,,,,,,,,,,,
My phone just gonna keep going black and white till I update ?!?! @AppleSupport,,,,,,,,,,,,,,,,,,
Hey @AppleSupport why is ios11 ruining my phone/life??????,,,,,,,,,,,,,,,,,,
@AppleSupport why has outlook been blocked with the new macOS High Sierra update on my Mac? Says unsupported but no way of updating app!?,,,,,,,,,,,,,,,,,,
"@AppleSupport why has #HighSierra destroyed blank background PNG images in Photos? Some now inconsistently have square, white BGs",,,,,,,,,,,,,,,,,,
@AppleSupport The new iOS is changing my @115858 experience into a nightmare !! Is it clearer in English ?,,,,,,,,,,,,,,,,,,
"@AppleSupport I am really surprised that my MacBook air barely one year and 2 months old suddenly has issues in its motherboard because of ""overuse"" or because of graphics. How? That's the reason I bought a MacBook.",,,,,,,,,,,,,,,,,,
"@AppleSupport Thanks, I already took it to the Apple store. The problem is that your QC is really terrible. Less than a week? Really?!",,,,,,,,,,,,,,,,,,
@AppleSupport somebody will help me deal with the problem of the iPhone / iPad or not?????!,,,,,,,,,,,,,,,,,,
@AppleSupport the music app in the control center does not work. Is a fix coming soon?? #apple #ios11,,,,,,,,,,,,,,,,,,
@AppleSupport I just turn on auto iCloud backup. When does my phone do that? It's currently connected to wifi and charging.,,,,,,,,,,,,,,,,,,
@AppleSupport iOS 11 sucks!!! iPhone switches off af 70% battery. Calls not gettting through. Too many probs. Is that how you revolutionize?,,,,,,,,,,,,,,,,,,
"@AppleSupport Hello. My iPhone X arrived today and it's great! However, the wifi signal keeps dropping despite still displaying the wifi bars. This has resulted in me unknowingly using 1.3GB of my data because I thought it was on WiFi. Any suggestions?",,,,,,,,,,,,,,,,,,
@AppleSupport I upgraded to ios11.1.2 and it has utterly fucked my phone. Everything is much slower to load and my battery dies in half the time. What have you done?!,,,,,,,,,,,,,,,,,,
"@AppleSupport Hi, could I exchange the color of my iPhone?",,,,,,,,,,,,,,,,,,
@AppleSupport @115858 am I crazy or are volume and ringer volume now inextricably connected? Not cool. I want ringer quiet with loud pods!,,,,,,,,,,,,,,,,,,
@AppleSupport I would like to take my photos off my mac and iphone and onto an external hard-drive as they are both slow.  Can an apple store do this for me?,,,,,,,,,,,,,,,,,,
"@AppleSupport My iPhone 6 camera is buggy. When I open it, it's just black and cannot take any photo (even selfie). What do I do?",,,,,,,,,,,,,,,,,,
@AppleSupport Why is my brand new 13 inch MBP draining 50% battery overnight while its supposed to be sleeping? Never had this problem with a Mac. Just got it a few days ago. Is this a High Sierra issue???,,,,,,,,,,,,,,,,,,
"@AppleSupport I need to get my 6s repaired-it qualifies for the unexpected shutdown defect/recall. At a Apple retail store, do they just replace the battery or whole phone for a different one? Thanks! JZ",,,,,,,,,,,,,,,,,,
#iphone6s system storage eating up 38gb out of 64gb after the new update this is very strange! Any solution to this? @AppleSupport @2310  @170480 #iphone #apple #AppleNews #iOS11,,,,,,,,,,,,,,,,,,
@AppleSupport Why don't the iPads have a Calculator?,,,,,,,,,,,,,,,,,,
@AppleSupport why .m4r format not working in itunes?,,,,,,,,,,,,,,,,,,
"@AppleSupport Hello, I want to know when getting a new iPhone from the upgrade program, what do I give back ? Only the iPhone ?",,,,,,,,,,,,,,,,,,
"@170666 I keep losing data connection. Cellular is fine, just data. @AppleSupport why is this happening?",,,,,,,,,,,,,,,,,,
@AppleSupport  still haven't got IOS 11 to download on my 7plus device. Can you help? xXxXx,,,,,,,,,,,,,,,,,,
@AppleSupport why does my iPhone WiFi keeps turn on on its own after I updated it to iOS 11.0.1?,,,,,,,,,,,,,,,,,,
"@AppleSupport why will my iPhone 6S update to 11.0.2, my iPad updated to 11.0.2 but my iPhone 7 says it's all current at 10.3.3?",,,,,,,,,,,,,,,,,,
#MacProblems @AppleSupport why is my #MacBookAir opening ALL TextEdit docs as Excel spreadsheets? #Iamscrewed am running El Capitan,,,,,,,,,,,,,,,,,,
"Hey @115858 @AppleSupport is iOS 11 purposely designed to totally mess up your phone or is that just me and everyone else I know? Lmk, thx.",,,,,,,,,,,,,,,,,,
Why is the new iOS 11 literally draining my battery @AppleSupport?,,,,,,,,,,,,,,,,,,
@AppleSupport My Activity and Health apps show very different step counts. Do they draw from different data sources and can I sync them up?,,,,,,,,,,,,,,,,,,
Dear @AppleSupport since iOS11 my battery barely makes it 8 hrs of minimal use unless I'm in low power mode. Any update coming to fix this?,,,,,,,,,,,,,,,,,,
@AppleSupport New AppStore seems only appealing to the eye like a glossy brochure. How can I find an app which fits my needs? How can I sort the reviews?,,,,,,,,,,,,,,,,,,
Please @AppleSupport when will there be an update to fix #iOS11 battery drain? I can often watch battery % drop 2% just by opening mail?!,,,,,,,,,,,,,,,,,,
New problem discovered post IoS11 - the clock is showing 20 mins slower! Wtf? @AppleSupport,,,,,,,,,,,,,,,,,,
Hey @AppleSupport how come it's ok to not help someone with an 8 week old machine with a defective keyboard?,,,,,,,,,,,,,,,,,,
@AppleSupport According 2 my phone my ringtones r still allocated to that contact? So long ago I can't remember. I shouldn't have to go to all this trbl,,,,,,,,,,,,,,,,,,
@AppleSupport is there a way to remove the huge banners on the top of every screen on new iOS?,,,,,,,,,,,,,,,,,,
"Hey @AppleSupport , a new line of text typed in iMessage or WhatsApp dissapears behind keyboard in iOS 11 on my 6S. Aware of this problem?",,,,,,,,,,,,,,,,,,
@AppleSupport podcast connect service is down for me. I post my podcast every week on thursday--what can I do to resolve this?,,,,,,,,,,,,,,,,,,
@115858 @AppleSupport any reason why the fingerprint isn't working to unlock my phone?,,,,,,,,,,,,,,,,,,
"@AppleSupport why iOS 11.0.2 automatically download when connected to WiFi? My setting is off. Why the size is different? 277,1MB to 1,61GB.",,,,,,,,,,,,,,,,,,
"@AppleSupport the clock app on my iPhone only works intermittently since the latest ios upgrade, any ideas?",,,,,,,,,,,,,,,,,,
@AppleSupport argh why is my genuine iPhone charger not charging my iPhone??? So annoying!,,,,,,,,,,,,,,,,,,
@AppleSupport Thanks for replying. Can you tell me who that is or how I can find out?,,,,,,,,,,,,,,,,,,
@AppleSupport Had to do it twice before it finally worked again. You do realise I shouldn't have had to do it at all right?!,,,,,,,,,,,,,,,,,,
@AppleSupport Why did High Sierra delete my login items?,,,,,,,,,,,,,,,,,,
@115858 @AppleSupport my phone start freezing 10 times a day and then restarting itself! Wtf is up Apple? iOS 11.01 is so frustrating!,,,,,,,,,,,,,,,,,,
@AppleSupport do the AirPods support Apple TV ?,,,,,,,,,,,,,,,,,,
@AppleSupport noticed some Airpods  connection problems while listening to music. Sometimes they just disconnect without any reasons.#iOS11?,,,,,,,,,,,,,,,,,,
"@AppleSupport @116333 wonder where all the Apple Quality disappeared? Does ""__email__"" works? Sent entire details as none could help - hope to see response",,,,,,,,,,,,,,,,,,
@AppleSupport Did anyone face this issue so far with iPhone 8 - Froze completely not able to shutdown nothing at all?? #frozeniphone8,,,,,,,,,,,,,,,,,,
How can I download macOS Sierra installer? @AppleSupport @115858,,,,,,,,,,,,,,,,,,
anyone else got affected by pathetic battery in iOS 11? @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport hi .. my screen phone has broken.. how can I fix it ??,,,,,,,,,,,,,,,,,,
@AppleSupport Wasn't there a promise of seamless switching between devices? The UI for pairing on the iPhone is atrocious and slow.,,,,,,,,,,,,,,,,,,
@AppleSupport How can I send you DM ?? And Iam from India !!,,,,,,,,,,,,,,,,,,
@AppleSupport If thousands of apple customers are saying the same thing FIX IT! Mine 8 months old- r u going to replace it now it stuck @ lingo qstn page?,,,,,,,,,,,,,,,,,,
".@AppleSupport Hey! For some reason since installing iOS 11.0.2 whenever I try to answer calls with my headset, it hangs up. Any advice?",,,,,,,,,,,,,,,,,,
@AppleSupport Yes I know they don't turn off. Why have you changed this? It's a terrible Ux. Also why can I still receive calls if I toggle mob reception?,,,,,,,,,,,,,,,,,,
@AppleSupport Yes; the quick on/off toggle in the ctl ctr slideup don't pwr up or dwn the wifi/bluetooth. I'm struggling to see how this is a good change?,,,,,,,,,,,,,,,,,,
@AppleSupport really need to stop messing around with iPhones your screwing my phone up big time with these updates ????,,,,,,,,,,,,,,,,,,
"Hi @AppleSupport, why on 16gb iPhone is there only 11.84GB of storage? Where's the other third?",,,,,,,,,,,,,,,,,,
hi @AppleSupport will you please tell me why my brand new charger only works half the time?,,,,,,,,,,,,,,,,,,
@AppleSupport I think it is a problem with the Apple Watch. AirPods working fine with just phone while running.  Any other ideas?,,,,,,,,,,,,,,,,,,
@AppleSupport Got AirPods today and love them.  Took on a run with Apl Watch 3 and music cut out for 1 sec about every 20 secs. Any ideas?,,,,,,,,,,,,,,,,,,
@AppleSupport When are you going to solve the battery problems on IOS 11? Am I obligated to downgrade?,,,,,,,,,,,,,,,,,,
@173571 @AppleSupport How did you downgrade?,,,,,,,,,,,,,,,,,,
@AppleSupport Why is iCloud web interface so slow?,,,,,,,,,,,,,,,,,,
@AppleSupport Just updated a few mins ago. Was this release to fix the issues?  I was having my problems with ios11.0.1,,,,,,,,,,,,,,,,,,
@AppleSupport Will the new update 11.0.2 improve the battery life...?,,,,,,,,,,,,,,,,,,
@AppleSupport And then what ?,,,,,,,,,,,,,,,,,,
@AppleSupport  my 7 plus iPhone for the third time after I did the last update hanged on me and I had to restart it so what is the problem ?,,,,,,,,,,,,,,,,,,
@AppleSupport why cant I updated or download any app?,,,,,,,,,,,,,,,,,,
Apple Podcast is not played continuously on #iOS11   Is there a solution to this problem? @AppleSupport,,,,,,,,,,,,,,,,,,
my new iphone 8 wont deliver texts to people without iphones?? @AppleSupport help??,,,,,,,,,,,,,,,,,,
@AppleSupport What's with the 3D Touch Lag?,,,,,,,,,,,,,,,,,,
Hey @AppleSupport how does one unlock a phone that has frozen? I have a @188 status update stuck the top of the screen so can't restart,,,,,,,,,,,,,,,,,,
"@AppleSupport @173774 restart is just temporary solution, after few hours is bug back. On my new SE it happend today manytimes. Any next idea?",,,,,,,,,,,,,,,,,,
"@AppleSupport iPhone 6s battery is not holding charge, since updating to iOS 11.0.2 is this normal?",,,,,,,,,,,,,,,,,,
Hey @AppleSupport how about releasing OS11 software that is fully tested? Spending 2 hours trying to fix a crashing iPhone aint fun  #os11,,,,,,,,,,,,,,,,,,
@AppleSupport - Major battery drain issues on iPhone 8 Plus running iOS 11.1 public beta 1. How can this be fixed?,,,,,,,,,,,,,,,,,,
@115858 @AppleSupport Can you bundle the Watch Faces on a purchase of a Nike Sport Band?,,,,,,,,,,,,,,,,,,
@AppleSupport why is my iPhone 8 Plus deleting songs from my playlists?,,,,,,,,,,,,,,,,,,
I can only use @118189 in the new Files app if I make @118189 less secure? That makes no sense. @AppleSupport @DropboxSupport,,,,,,,,,,,,,,,,,,
@AppleSupport Is it safe to charge those devices overnight? I couldn't find the direct answer to that in the page you sent.,,,,,,,,,,,,,,,,,,
@AppleSupport So if I charge an apple device everyday for 12 hours it will not damage the battery? What if I charge it for 24 hours straight everyday?,,,,,,,,,,,,,,,,,,
"@AppleSupport  how long is it safe to charge a mac,iphone,ipad,or ipod  for without lowering  the performance of the device or damaging it?",,,,,,,,,,,,,,,,,,
@AppleSupport @AppleSupport did you checked this issue?? Do you really want to fix this issue or no??,,,,,,,,,,,,,,,,,,
"@AppleSupport @150622 Same thing happening to me, did they give you a reason or help at all?",,,,,,,,,,,,,,,,,,
@AppleSupport HOW DO YOU FIX AN UNRESPONSIVE SCREEN + A SCREEN THAT GLITCHES AT THE TOP????,,,,,,,,,,,,,,,,,,
"@AppleSupport i updated to ios11 and some photos got deleted, what's up with this?",,,,,,,,,,,,,,,,,,
@115858 @AppleSupport has anyone else had a complaint about Bluetooth connection since ios11 update?,,,,,,,,,,,,,,,,,,
"@AppleSupport, Hi, when I select text with my Mac, it doesn't highlight it anymore on pages, or Safari. Can you help me please ? :)",,,,,,,,,,,,,,,,,,
"Hello @AppleSupport, is it possible to buy a Apple Watch Series 3 in different colors? ( i prefer Gold and Blue cobalt Sport band).",,,,,,,,,,,,,,,,,,
"@AppleSupport Hey Apple ... is there a way to force Apple Photos to refresh the library? Took a ton of photos yesterday, but many are MIA.",,,,,,,,,,,,,,,,,,
People continue to disturb me when my phone is on do not disturb. Why? @AppleSupport @115858,,,,,,,,,,,,,,,,,,
@AppleSupport After updating to iOS 11 why my wifi getting automaticlly on.?,,,,,,,,,,,,,,,,,,
@AppleSupport I have a problem with my iphone in argentina. Where can I find the address of the official apple support in Buenos Aires?thnks,,,,,,,,,,,,,,,,,,
"@AppleSupportHave Apple reached maximum arrogance? ""You want to buy a laptop? Wait 25 minutes.""",,,,,,,,,,,,,,,,,,
@AppleSupport Can you do it in a playlist as well?,,,,,,,,,,,,,,,,,,
@AppleSupport how do I sort my music by title instead of by artist in Apple Music on iOS 11?,,,,,,,,,,,,,,,,,,
"@AppleSupport what is going on with iOS 11.0? #iphone suffering with stuck keys syndrome, S L O W response, yuk.",,,,,,,,,,,,,,,,,,
why can I not clear my notification screen at all times? @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport Thanks. I know that ios 11.0.2 is available but this to worsen the autonomy of the iphone of my girlfriend... I hope a patch will come out?,,,,,,,,,,,,,,,,,,
"@AppleSupport Any reason Independence Day Resurgence went from 4K, to 4K HDR and then back to HD on the UK iTunes store today?",,,,,,,,,,,,,,,,,,
"Hello @AppleSupport since iOS 11.0.1, keyboard lags on iPhone 7 are very annoying ! When will you send a patch ?",,,,,,,,,,,,,,,,,,
@AppleSupport I ordered iPhone two days ago and didn't receive confirmation email until now. Is that normal?,,,,,,,,,,,,,,,,,,
@AppleSupport @AppleSupport ?,,,,,,,,,,,,,,,,,,
@AppleSupport The volume button does not control ringer volume after update on IPhone6S. Is this being looked at?,,,,,,,,,,,,,,,,,,
".@AppleSupport Q: was the WatchOS 4.0.1 update only released for Series 3 watches? Just curious, thanks!",,,,,,,,,,,,,,,,,,
"@AppleSupport Hi my iPhone 8 screen has frozen but I can still turn it on and off, how do I fix this?",,,,,,,,,,,,,,,,,,
@AppleSupport why does my phone shut off cellular data when I connect via Bluetooth to my car? It started when I did the 11.2 update.,,,,,,,,,,,,,,,,,,
@AppleSupport My Apple ID?,,,,,,,,,,,,,,,,,,
I need help @AppleSupport how can I download my music from my iCloud?? Please guide me,,,,,,,,,,,,,,,,,,
@AppleSupport I just got an email from this address: __email__ guessing not from y'all?,,,,,,,,,,,,,,,,,,
@AppleSupport will I ever receive a email from Apple about a possible compromised login? probably a phishing scam just checking to be sure,,,,,,,,,,,,,,,,,,
@AppleSupport any ideas why my #iPhone8Plus is having WiFi issues?! Constantly having to disconnect and reconnect!,,,,,,,,,,,,,,,,,,
@AppleSupport Can I connect two iPhones on my apple watch?,,,,,,,,,,,,,,,,,,
@AppleSupport I can not use my password in Notes app. I can open protected notes only using Touch ID. What is wrong?,,,,,,,,,,,,,,,,,,
So how do you put your pictures from your old phone to the new phone? @AppleSupport,,,,,,,,,,,,,,,,,,
Just watched my battery meter go from 52% to 17% in ten minutes while not using it. Nothing running in the background. @AppleSupport @115858 why do you program phone to do this after they reach a certain age??,,,,,,,,,,,,,,,,,,
"I updated my iPhone, just for the 'I' glitch to be worse, and I can't put songs on my phone. Do you know how hard it is to do life without your music??? C'mon @115858 @AppleSupport! You guys have gotten way too comfortable.",,,,,,,,,,,,,,,,,,
"@AppleSupport you're welcome, I hope you guys enjoyed it. can you also provide support, please? (that'd be great if you did not need a second explanation)",,,,,,,,,,,,,,,,,,
ciao @AppleSupport cari.. ehm.. Mail crasha e io sto iperventilando. che fare? CHE HO FATTO DI MALE?!1!2?!,,,,,,,,,,,,,,,,,,
"@AppleSupport Question, is the 4K Apple TV backward compatible with a 1080p HD TV?  Would like to future proof if possible and buy the 4K.",,,,,,,,,,,,,,,,,,
@AppleSupport #iOS11 is it just me or anyone else facing the issue where the Bluetooth turns on automatically? #appleios11,,,,,,,,,,,,,,,,,,
@AppleSupport Contacted support again for the 2nd time. Was told there's no fix. I fixed it myself. Where's that job offer at? I have great people skills,,,,,,,,,,,,,,,,,,
@AppleSupport where all my pictures and videos gone?,,,,,,,,,,,,,,,,,,
@AppleSupport Hi. Where do I find my Wish List in the updated App Store on iOS11?,,,,,,,,,,,,,,,,,,
iOS 11 is ruining my battery life. Having to charge my phone for a 3rd time today under normal usage! @AppleSupport - any advice??,,,,,,,,,,,,,,,,,,
@AppleSupport hey how can my phone not freeze every 5 mins with iOS11? Ideas??,,,,,,,,,,,,,,,,,,
@AppleSupport have you fixed the issue with the Powerbeats3?,,,,,,,,,,,,,,,,,,
#ios11update @AppleSupport How do I go back to ios10?  11 is killing my battery.,,,,,,,,,,,,,,,,,,
"PSA: Do not update to the new iOS software unless you enjoy a rapidly dying battery. Any plans to fix this, @AppleSupport?",,,,,,,,,,,,,,,,,,
"@AppleSupport why is my iPhone 7s making a ring noise when I open settings?  Not always, just sometimes. Weird.",,,,,,,,,,,,,,,,,,
"Hey @AppleSupport, Messages on my mac is no longer updating w/ the conversations on my iPhone. Help?",,,,,,,,,,,,,,,,,,
"@AppleSupport No, the update notes don't mention wifi. Just crackles, photos and emails. Is there a 11.0.3 coming soon for wifi and battery life fixes?",,,,,,,,,,,,,,,,,,
"@AppleSupport why did you push ios 11 out with the battery drain? I waited a while, did the upgrade monday and the battery life is awful",,,,,,,,,,,,,,,,,,
@AppleSupport a family member accidentally signed up to a news subscription. How can I manage this from the Organiser device?,,,,,,,,,,,,,,,,,,
@AppleSupport hello I'm thinking about buying a mac book air and I'm wondering is the offer of getting free beats still valid?,,,,,,,,,,,,,,,,,,
@AppleSupport Are you going to reply or you just want it to seem like you're helping me to the public?,,,,,,,,,,,,,,,,,,
@AppleSupport What details are you after?,,,,,,,,,,,,,,,,,,
"@AppleSupport I have 2 Iphone 7+, but 1 runs out a battery super quick, how can I Test the battery to see if there a issue w. It?",,,,,,,,,,,,,,,,,,
@AppleSupport ever since ios11 my sent text arrive incomplete. Anyone else having this problem?,,,,,,,,,,,,,,,,,,
Hey @AppleSupport my phone has been VERY warm since I took it off the charger this morning. Even after not using it for an hour. Why?,,,,,,,,,,,,,,,,,,
"@AppleSupport I can speak in english to, I need to know what the fuck is going on with my Wifi ?",,,,,,,,,,,,,,,,,,
@176251 @AppleSupport Just upgraded to 11.0.2 this morning but I was noticing that issue before my upgrade. Wonder if it was a prob after the last patch?,,,,,,,,,,,,,,,,,,
@AppleSupport how can I customise it to remove the Screen Mirroring item? I have no Apple TV so I don't need it,,,,,,,,,,,,,,,,,,
"@AppleSupport hi there, how do I make an appointment online at the Genius Bar please? I'm in the UK thanks Dan",,,,,,,,,,,,,,,,,,
@AppleSupport how come since the update my battery dies two times quicker now?!?!?!?,,,,,,,,,,,,,,,,,,
@AppleSupport is there way I can use my single mouse and keyboard on multiple macs at the same time?,,,,,,,,,,,,,,,,,,
"@AppleSupport I have a question, can I order flight when I am using nonsecured WiFi? Does it safe?",,,,,,,,,,,,,,,,,,
Since I updated to iOS 11 autocorrect has been going insane!!! Anyone else having problems? @115858 @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport the new software on iphone is causing problems. Can you fix it anytime soon? Thanks,,,,,,,,,,,,,,,,,,
"Hi @AppleSupport, are there issues with the App Store? App Updates are EXTREMELY slow...",,,,,,,,,,,,,,,,,,
@AppleSupport how do I unsubscribe from Apple Music?? Dont wanna continue after 3 months but it keeps charging me,,,,,,,,,,,,,,,,,,
"@AppleSupport I need to change country my iTunes acct: have to cancel @115948 first, change and reactivate. Do I will lose my music?",,,,,,,,,,,,,,,,,,
@AppleSupport simple problem w airpods. phone/chat support not helpful (I know more than they do.) How do I speak with someone who can help?,,,,,,,,,,,,,,,,,,
"@AppleSupport @115858 @AppleSupport I thought this was a bug but you're suggesting keeping wifi on is a feature? You know how long the iPhone lasts, right?",,,,,,,,,,,,,,,,,,
@AppleSupport Hey there- my 4th gen Apple TV is just blinking and won't turn on - can I reset somehow?,,,,,,,,,,,,,,,,,,
Hey @118721 @applesupport is there an issue with iTunes Store just now? I can't purchase from two of my devices,,,,,,,,,,,,,,,,,,
@AppleSupport why does my phone keep restarting on its own???,,,,,,,,,,,,,,,,,,
@AppleSupport is iMessage having an issue right now? Mine is running very slow.,,,,,,,,,,,,,,,,,,
Hey @AppleSupport . Why does my iPhone screen turn off while watching a @2514 video and not a #YouTube video ? @14820,,,,,,,,,,,,,,,,,,
@AppleSupport Why could the check not have been performed online? Could have saved a long journey and disappointment.,,,,,,,,,,,,,,,,,,
"@AppleSupport Hello, what's up with my Exercise Ring not tracking correctly? Having to exercise for an hour only to get 20 min on the ring!",,,,,,,,,,,,,,,,,,
How annoying is the new screenshot? @AppleSupport go back to regular screenshot NOW,,,,,,,,,,,,,,,,,,
What's with #iOS11 upgrade routinely making the notifications and everything on the lock screen disappear? @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport hi is your Apple TV down ?,,,,,,,,,,,,,,,,,,
@AppleSupport @AppleSupport Can you guys see the screenshot?,,,,,,,,,,,,,,,,,,
@AppleSupport Hey there! Can you guys please help me with a question that I have?,,,,,,,,,,,,,,,,,,
@AppleSupport Not able to update do to Billling Issue error?  Billing server does not seem to be responding  Tried to update billing info,,,,,,,,,,,,,,,,,,
The screenshot feature by 3D pressing the assistive touch button discontinued from IOS11 ? #ios11update @115858 @AppleSupport,,,,,,,,,,,,,,,,,,
@AppleSupport Means? How is it related to my complaint???,,,,,,,,,,,,,,,,,,
@AppleSupport @115858 @116333 Hello your Customer care official Mohammed Waseem says NO to help me and says they r OK if I file a case with consumer forum! Can u help??,,,,,,,,,,,,,,,,,,
"@AppleSupport @177854 I tried this, but still both WiFi and Bluetooth not getting fully disabled. Could you please mention the steps ?",,,,,,,,,,,,,,,,,,
"@AppleSupport I have iphone 6+, after updating it gets empty so fast and doesn't work fluent anymore...Is there a possibility to change for a new one?",,,,,,,,,,,,,,,,,,
@AppleSupport 2)) second was like an error during streaming a video! it was restarted!I had no idea what was going on? what's the problem with new iOS 11?,,,,,,,,,,,,,,,,,,
@AppleSupport Why add extra steps to something that was so simple?,,,,,,,,,,,,,,,,,,
@AppleSupport Is there anyway to stop iCloud notifications?,,,,,,,,,,,,,,,,,,
@AppleSupport @1732 Upgraded the firmware in my '16 Suburban and still my iPhone 8 does not interface with CarPlay.  Is there a fix????,,,,,,,,,,,,,,,,,,
@AppleSupport how do I reinstall my MacBook?,,,,,,,,,,,,,,,,,,
@AppleSupport holy crap the WiFi issue on iOS11 is annoyingly horrible. Can I revert back to 10?,,,,,,,,,,,,,,,,,,
"MBP not requiring password during screen saver, ignoring setting, on High Sierra. Anyone else seeing this? cc @AppleSupport",,,,,,,,,,,,,,,,,,
@AppleSupport Hi. Stupid question. From the lock screen on iPhone how do I get to ICE Medical ID info?,,,,,,,,,,,,,,,,,,
Hey @AppleSupport why does sliding up on my iPhone not let me play/pause/skip and why do my volume buttons have no effect since iOS update?,,,,,,,,,,,,,,,,,,
@AppleSupport with move to ios does that help move contacts from a SIM card in an android phone at all? Many Thanks Steve,,,,,,,,,,,,,,,,,,
@AppleSupport This crackling of sound on the new iPhone is for the birds. Fix coming soon?,,,,,,,,,,,,,,,,,,
"@AppleSupport I'm likely going to have to backup my apple phone to my husband's non-apple computer. What's the point of having a MacBook Pro if I have to back it up to a Dell? I've been a loyal customer for 20 years, but I've had it. I was planning to purchase the iPhone X, but will not do so",,,,,,,,,,,,,,,,,,
@AppleSupport por que meu Bluetooth liga sozinho no IOS 11?,,,,,,,,,,,,,,,,,,
"@AppleSupport seriously, why have an update that is just going to make your phone freeze with every touch?",,,,,,,,,,,,,,,,,,
@AppleSupport is there a fix/iOS update coming for the issues with controlling @SpotifyCares or showing songs on lock screen?,,,,,,,,,,,,,,,,,,
@115913 what is this I am hearing about @TMobileHelp saying @AppleSupport is supposed to honor the insurance we are paying for..????!,,,,,,,,,,,,,,,,,,
"@AppleSupport can Siri read text (like my Evernote page) to me? If not, where do I make a formal request?",,,,,,,,,,,,,,,,,,
"@AppleSupport My tweet said I can't do a manual reboot (using the home/volume/power button as u suggest), so the answer to your question is no. What now?",,,,,,,,,,,,,,,,,,
My ipod has just frozen on me while playing music (everything else works/loads fine. I can't reboot manually. Any help @AppleSupport?,,,,,,,,,,,,,,,,,,
"@AppleSupport Can I get the battery diagnostics tool, please?",,,,,,,,,,,,,,,,,,
IOS 11 is a waste of time right now. Where does my keyboard keep going? And my apps keep crashing @AppleSupport what's going on?,,,,,,,,,,,,,,,,,,
"so @AppleSupport, any reason I'm not allowed to turn off keychain on iphone with new update?",,,,,,,,,,,,,,,,,,
@AppleSupport How does a person report issues with the ios 11.0.2 software? I have been having really weird issues with my iPhone 7 since,,,,,,,,,,,,,,,,,,
"iMessage keeps giving me an activation error on my iPad @AppleSupport, how can I fix this?",,,,,,,,,,,,,,,,,,
iOS 11.0.1 bricked my phone and now I have to pay $350 to fix it?? Now i'm w/o a phone Thanks @AppleSupport @115858,,,,,,,,,,,,,,,,,,
@AppleSupport anybody here to actually help sort this issue out ??,,,,,,,,,,,,,,,,,,
@AppleSupport How can I use my school's wifi? I go to a community college. I can get wifi when I log in with my student account on my,,,,,,,,,,,,,,,,,,
@AppleSupport Why is ask to buy not working after latest IOS update?  Kids are choosing apps and it showing them my credit card....,,,,,,,,,,,,,,,,,,
