TYPE,TEXT
NETWORK,@AppleSupport Why does the wifi keep turning itself back on when I turn it off in iOS 11? Why does exiting airplane mode turn everything on?
HARDWARE,My macbook pro battery has fully stopped working overnight... it is a 2015... is this typical? @115858 @AppleSupport #MacBookPro
NETWORK,"@AppleSupport since I installed #iOS11 my phone calls are terrible, my internet is worse than the phone calls. Can u provide support with that?"
ICLOUD,"@AppleSupport so a question -- if I back up from icloud, will it give me my health data?"
HARDWARE,@AppleSupport When the battery issue will be solved for ios11??
HARDWARE,@AppleSupport  after 11.01 update my battery 50% low in 2-3 hours. What happened ?
PURCHASE,"@AppleSupport Can I get MBP 2017 13inch 16gb RAM in India? If not, is buying from the US a good idea (wrt warranty) for an Indian citizen?"
IOS,@AppleSupport what have you done w  ios 11?  It has crippled my phone.  Each new update seems to do more harm than good.  Msg app useless
IOS,@AppleSupport @115858 I updated to 11.0.2 and my phone is still getting frozen. What are you guys doing over there??
IOS,".@hulu_support @AppleSupport When will glitch be fixed? Since last update I can no longer mirror Hulu on Apple TV! Ads are fine, program not"
HARDWARE,@AppleSupport check it. Is that a battery issue?
HARDWARE,"@AppleSupport Uh Iphone 6s won't turn on after the screen messing up, tried a hard reset nothing happening. Help??"
IOS,"@AppleSupport Updated, thanks. Is this a known issue of the previous iOS?"
HARDWARE,"New #iOS11 making my #iPhone 6s practically useless - apps freezing, phone shutting down, battery draining. Anyone else? @AppleSupport"
HARDWARE,@AppleSupport Actually I think I might be ok. Is the  draining of the battery different in ios 11.2?
IOS,@AppleSupport Thanks! Why did the update turn this on to begin with?
APPS,@AppleSupport Why does the screen keep changing brightness levels on its own though I turned off auto- brightness feature?
IOS,@165495 @AppleSupport Do you know which update she had after that newest one?
IOS,My iphone 7 is complete SHIT after this iOS 11 update. @115858 @AppleSupport What is going on over there?
ICLOUD,@AppleSupport I'm going to get an iPhone 7 next month and I was wondering if downloading a paid app from my old iCloud was possible?
HARDWARE,@AppleSupport Just got news that 2 incidents reported that iPhone 8 plus battery burst while charging. Is it true ?
HARDWARE,@AppleSupport would you be able to check my battery health for me please?
IOS,My phone just gonna keep going black and white till I update ?!?! @AppleSupport
APPS,@AppleSupport why has outlook been blocked with the new macOS High Sierra update on my Mac? Says unsupported but no way of updating app!?
NETWORK,@AppleSupport I just turn on auto iCloud backup. When does my phone do that? It's currently connected to wifi and charging.
HARDWARE,@AppleSupport iOS 11 sucks!!! iPhone switches off af 70% battery. Calls not gettting through. Too many probs. Is that how you revolutionize?
NETWORK,"@AppleSupport Hello. My iPhone X arrived today and it's great! However, the wifi signal keeps dropping despite still displaying the wifi bars. This has resulted in me unknowingly using 1.3GB of my data because I thought it was on WiFi. Any suggestions?"
HARDWARE,@AppleSupport I upgraded to ios11.1.2 and it has utterly fucked my phone. Everything is much slower to load and my battery dies in half the time. What have you done?!
HARDWARE,@AppleSupport Why is my brand new 13 inch MBP draining 50% battery overnight while its supposed to be sleeping? Never had this problem with a Mac. Just got it a few days ago. Is this a High Sierra issue???
HARDWARE,"@AppleSupport I need to get my 6s repaired-it qualifies for the unexpected shutdown defect/recall. At a Apple retail store, do they just replace the battery or whole phone for a different one? Thanks! JZ"
IOS,#iphone6s system storage eating up 38gb out of 64gb after the new update this is very strange! Any solution to this? @AppleSupport @2310  @170480 #iphone #apple #AppleNews #iOS11
NETWORK,@AppleSupport why does my iPhone WiFi keeps turn on on its own after I updated it to iOS 11.0.1?
IOS,"@AppleSupport why will my iPhone 6S update to 11.0.2, my iPad updated to 11.0.2 but my iPhone 7 says it's all current at 10.3.3?"
HARDWARE,Why is the new iOS 11 literally draining my battery @AppleSupport?
HARDWARE,Dear @AppleSupport since iOS11 my battery barely makes it 8 hrs of minimal use unless I'm in low power mode. Any update coming to fix this?
HARDWARE,Please @AppleSupport when will there be an update to fix #iOS11 battery drain? I can often watch battery % drop 2% just by opening mail?!
APPS,@AppleSupport is there a way to remove the huge banners on the top of every screen on new iOS?
NETWORK,"@AppleSupport why iOS 11.0.2 automatically download when connected to WiFi? My setting is off. Why the size is different? 277,1MB to 1,61GB."
HARDWARE,anyone else got affected by pathetic battery in iOS 11? @AppleSupport
HARDWARE,@AppleSupport hi .. my screen phone has broken.. how can I fix it ??
NETWORK,@AppleSupport Yes; the quick on/off toggle in the ctl ctr slideup don't pwr up or dwn the wifi/bluetooth. I'm struggling to see how this is a good change?
COMPLAIN,@AppleSupport really need to stop messing around with iPhones your screwing my phone up big time with these updates ????
HARDWARE,@AppleSupport When are you going to solve the battery problems on IOS 11? Am I obligated to downgrade?
ICLOUD,@AppleSupport Why is iCloud web interface so slow?
IOS,@AppleSupport Just updated a few mins ago. Was this release to fix the issues?  I was having my problems with ios11.0.1
HARDWARE,@AppleSupport Will the new update 11.0.2 improve the battery life...?
IOS,@AppleSupport  my 7 plus iPhone for the third time after I did the last update hanged on me and I had to restart it so what is the problem ?
APPS,@AppleSupport why cant I updated or download any app?
HARDWARE,Hey @AppleSupport how does one unlock a phone that has frozen? I have a @188 status update stuck the top of the screen so can't restart
HARDWARE,"@AppleSupport iPhone 6s battery is not holding charge, since updating to iOS 11.0.2 is this normal?"
HARDWARE,@AppleSupport - Major battery drain issues on iPhone 8 Plus running iOS 11.1 public beta 1. How can this be fixed?
HARDWARE,@AppleSupport So if I charge an apple device everyday for 12 hours it will not damage the battery? What if I charge it for 24 hours straight everyday?
HARDWARE,@AppleSupport HOW DO YOU FIX AN UNRESPONSIVE SCREEN + A SCREEN THAT GLITCHES AT THE TOP????
IOS,"@AppleSupport i updated to ios11 and some photos got deleted, what's up with this?"
IOS,@115858 @AppleSupport has anyone else had a complaint about Bluetooth connection since ios11 update?
PURCHASE,"Hello @AppleSupport, is it possible to buy a Apple Watch Series 3 in different colors? ( i prefer Gold and Blue cobalt Sport band)."
NETWORK,@AppleSupport After updating to iOS 11 why my wifi getting automaticlly on.?
COMPLAIN,"@AppleSupportHave Apple reached maximum arrogance? ""You want to buy a laptop? Wait 25 minutes."""
APPS,why can I not clear my notification screen at all times? @AppleSupport
IOS,@AppleSupport The volume button does not control ringer volume after update on IPhone6S. Is this being looked at?
HUMAN,".@AppleSupport Q: was the WatchOS 4.0.1 update only released for Series 3 watches? Just curious, thanks!"
HARDWARE,"@AppleSupport Hi my iPhone 8 screen has frozen but I can still turn it on and off, how do I fix this?"
NETWORK,@AppleSupport why does my phone shut off cellular data when I connect via Bluetooth to my car? It started when I did the 11.2 update.
ICLOUD,I need help @AppleSupport how can I download my music from my iCloud?? Please guide me
NETWORK,@AppleSupport any ideas why my #iPhone8Plus is having WiFi issues?! Constantly having to disconnect and reconnect!
HARDWARE,Just watched my battery meter go from 52% to 17% in ten minutes while not using it. Nothing running in the background. @AppleSupport @115858 why do you program phone to do this after they reach a certain age??
COMPLAIN,"I updated my iPhone, just for the 'I' glitch to be worse, and I can't put songs on my phone. Do you know how hard it is to do life without your music??? C'mon @115858 @AppleSupport! You guys have gotten way too comfortable."
PURCHASE,"@AppleSupport Question, is the 4K Apple TV backward compatible with a 1080p HD TV?  Would like to future proof if possible and buy the 4K."
ICLOUD,@AppleSupport Hi. Where do I find my Wish List in the updated App Store on iOS11?
HARDWARE,iOS 11 is ruining my battery life. Having to charge my phone for a 3rd time today under normal usage! @AppleSupport - any advice??
HARDWARE,#ios11update @AppleSupport How do I go back to ios10?  11 is killing my battery.
HARDWARE,"PSA: Do not update to the new iOS software unless you enjoy a rapidly dying battery. Any plans to fix this, @AppleSupport?"
HARDWARE,"@AppleSupport No, the update notes don't mention wifi. Just crackles, photos and emails. Is there a 11.0.3 coming soon for wifi and battery life fixes?"
HARDWARE,"@AppleSupport why did you push ios 11 out with the battery drain? I waited a while, did the upgrade monday and the battery life is awful"
PURCHASE,@AppleSupport hello I'm thinking about buying a mac book air and I'm wondering is the offer of getting free beats still valid?
HARDWARE,"@AppleSupport I have 2 Iphone 7+, but 1 runs out a battery super quick, how can I Test the battery to see if there a issue w. It?"
NETWORK,"@AppleSupport I can speak in english to, I need to know what the fuck is going on with my Wifi ?"
APPS,@AppleSupport how can I customise it to remove the Screen Mirroring item? I have no Apple TV so I don't need it
HARDWARE,@AppleSupport how come since the update my battery dies two times quicker now?!?!?!?
NETWORK,"@AppleSupport I have a question, can I order flight when I am using nonsecured WiFi? Does it safe?"
IOS,Since I updated to iOS 11 autocorrect has been going insane!!! Anyone else having problems? @115858 @AppleSupport
NETWORK,"Hi @AppleSupport, are there issues with the App Store? App Updates are EXTREMELY slow..."
NETWORK,"@AppleSupport @115858 @AppleSupport I thought this was a bug but you're suggesting keeping wifi on is a feature? You know how long the iPhone lasts, right?"
APPS,Hey @AppleSupport . Why does my iPhone screen turn off while watching a @2514 video and not a #YouTube video ? @14820
COMPLAIN,How annoying is the new screenshot? @AppleSupport go back to regular screenshot NOW
IOS,What's with #iOS11 upgrade routinely making the notifications and everything on the lock screen disappear? @AppleSupport
HUMAN,@AppleSupport @AppleSupport Can you guys see the screenshot?
IOS,@AppleSupport Not able to update do to Billling Issue error?  Billing server does not seem to be responding  Tried to update billing info
COMPLAIN,The screenshot feature by 3D pressing the assistive touch button discontinued from IOS11 ? #ios11update @115858 @AppleSupport
NETWORK,"@AppleSupport @177854 I tried this, but still both WiFi and Bluetooth not getting fully disabled. Could you please mention the steps ?"
ICLOUD,@AppleSupport Is there anyway to stop iCloud notifications?
NETWORK,@AppleSupport holy crap the WiFi issue on iOS11 is annoyingly horrible. Can I revert back to 10?
APPS,"MBP not requiring password during screen saver, ignoring setting, on High Sierra. Anyone else seeing this? cc @AppleSupport"
APPS,@AppleSupport Hi. Stupid question. From the lock screen on iPhone how do I get to ICE Medical ID info?
IOS,Hey @AppleSupport why does sliding up on my iPhone not let me play/pause/skip and why do my volume buttons have no effect since iOS update?
HARDWARE,@AppleSupport This crackling of sound on the new iPhone is for the birds. Fix coming soon?
IOS,"@AppleSupport seriously, why have an update that is just going to make your phone freeze with every touch?"
APPS,@AppleSupport is there a fix/iOS update coming for the issues with controlling @SpotifyCares or showing songs on lock screen?
HARDWARE,"@AppleSupport Can I get the battery diagnostics tool, please?"
COMPLAIN,"so @AppleSupport, any reason I'm not allowed to turn off keychain on iphone with new update?"
NETWORK,@AppleSupport How can I use my school's wifi? I go to a community college. I can get wifi when I log in with my student account on my
IOS,@AppleSupport Why is ask to buy not working after latest IOS update?  Kids are choosing apps and it showing them my credit card....
IOS,@AppleSupport @179844 I am having same issue since the update. Have not yet installed 11.0.2 yet however. Should I?
HARDWARE,@AppleSupport iPhone 6s iOS 11.0.2 battery from 79% to 30% in 20 mins? How? Why? How do I get my iOS 10 back? #help #apple
HARDWARE,@AppleSupport hi wanna run some battery health diagnostics on my phone?
HARDWARE,@AppleSupport why is my iPhone 7 battery suddenly only last 5 hours? #help #updatessuck #myphonesnotevenayearold
COMPLAIN,Does @AppleSupport purposely try to destroy ur iPhone w system updates so u buy a new one? Mine is abt as functional as a moto Razr now
HARDWARE,@AppleSupport IOS 11 is draining out my IPhone 7 battery! Are you doing something about it?Too many malfunctions!
HARDWARE,"@AppleSupport Why should I send a DM? My apps freeze up, my battery drains too fast and when I delete emails and reopen my inbox they have returned"
HARDWARE,"@AppleSupport I have Apple iPhone 6s, three years old, battery dies fast.  Should I do the upgrade even though I hear it sucks battery life?"
HARDWARE,@AppleSupport how can I check the battery percent of my beats on the new iOS?
HARDWARE,Can I suggest to @AppleSupport that an option be added for the iPhone X to have battery % displayed up top instead of an icon?
HARDWARE,"@AppleSupport Hi! excuse me! since the update, my battery is terrible. I see the percentage go lower. Wat can i do about it?"
APPS,"@AppleSupport So to be clear. This red screen warning is a Safari feature, not phishing from the website like the MacKeeper pop ups in the past?"
APPS,"@AppleSupport When we press volume button pop up comes in middle of the screen for any video we play,iOS11 removed this right?"
COMPLAIN,I think my MacBook got a virus or some shit.. is that possible?? @AppleSupport
HARDWARE,"@AppleSupport Dear @AppleSupport  Since the update (ios11), my battery life is shorter! how is that possible?"
ICLOUD,@AppleSupport Is there any way to open an mp3 stored in my iCloud drive in Music so that I can listen on my Watch?
HARDWARE,@AppleSupport should listening to one album on Apple Music take your phone battery from 100% to 30% on the iPhone 6 Plus?
HARDWARE,@AppleSupport Of the screen when you look at angle of the display? For the backlight. Almost a 45degree angle. Well mean the edge of the display.
APPS,@AppleSupport Is there a list of all apps that are allowed to record my screen like Uber? I want to delete all of them.@115858
HARDWARE,@AppleSupport No not using low power mode. Seeing many others having same problem as I am with slow glitchy phone.  When will this update be fixed?
HARDWARE,"@AppleSupport Hi there, I would like to know the battery health in my iphone, can you guys help me with that?"
HARDWARE,"@AppleSupport The overall performance has been reduced, battery life as well, system constantly slowing down and the phone is heating up a lot. Any ideas?"
NETWORK,@AppleSupport my wifi keeps being toggled on automatically - is this a bug or is there a way to stop this?
IOS,@AppleSupport why does the apple update suck so bad? My normally good product is now crap thanks to your update.
IOS,@AppleSupport I did my new update now my phone randomly locks and resets itself. Will there be a new update to fix this?
HARDWARE,@AppleSupport Any way I can check the overall battery health of my iPhone 6S Plus?
NETWORK,@AppleSupport since the iOS update on my phone my WiFi keeps turning on without being asked. Is it a bug or can I stop it?
IOS,@115858 how can this new update cause so many issues?? Having to reset my phone 15 times a day because it freezes is not fun @AppleSupport
IOS,@AppleSupport my phone is so fucked after this update. WHHYYY?!!
NETWORK,@185468 @AppleSupport Two more issues I noticed with iPhone 6s 1-why the WiFi is sometime activated automatically? 2-the brightness is automatically increasing.
HARDWARE,@AppleSupport This is a joke. Updated to IOS11 and my battery is drained. What are you doing about it?
HARDWARE,"@applesupport Wow! Updated iOS to 11.0.2 - can deal w/dramatic changes, but the #batterysuck is crazy! 100% to 42% in 2 hrs? #fixit #iphone"
HARDWARE,"Hey, @AppleSupport, my IPhone is barely a year old and the battery is dreadful! Can you offer any help?"
COMPLAIN,"@AppleSupport iOS 11 is buggy AF! Apps- buggy, Messenger-buggy. Cumbersome home screen swipe menus. Can I go back ? Is this my life now?!"
HARDWARE,@AppleSupport Ever since ios 11.0.2 my battery has been going down incredibly fast. Something is wrong. Are you releasing a fix for this?
COMPLAIN,@115858 @AppleSupport why does the alarm clock remain quiet if your volume is all the way down? Fuckin late for work again... arg
HARDWARE,"The battery on the iPhone 7 has gone shit since the update, it was good, what can I do??? @AppleSupport"
IOS,@AppleSupport I get a mini black bar at bottom of my screen and a large black box on right side when on a call?! Fix it please!
IOS,.@AppleSupport My iPhone 6 plus automatically updated last night and now several apps don't work. What gives???
HARDWARE,"@AppleSupport my mic isnt working with those screenrecord things, how can i fix this?"
IOS,@AppleSupport ever since I downloaded ios11 my phones been crashing every two minutes whats the crack???
HARDWARE,Iphone 6 heats and battery draining very fast after upgrading to ios 11. Is there any fix for this? @115858 @AppleSupport @2310  @115858
HARDWARE,hey @AppleSupport - my iphone battery is dropping to single digits withing 3 hours of being charged. Can you help figure out why?
IOS,"@AppleSupport With the latest update, why am I unable to go back and read older messages ?"
NETWORK,@AppleSupport So the update made it to were I have to go to settings to properly turn on and off the WiFi instead of using control center? :/
NETWORK,@AppleSupport Is there anyway to stop my WiFi from ALWAYS being on besides going into settings and turning it off?
NETWORK,"Hey @AppleSupport why is my WiFi and Bluetooth turning on auto? iOS 11, iPhone 7+"
HARDWARE,@AppleSupport Is there a rough rough estimate on how much replacing+installing new iphone6s battery would cost at an Apple store?
HARDWARE,"Hey @115858 @AppleSupport, why is battery so crap on iOS 11? Why has this not been fixed as an issue? @116333? #batterylifematters"
NETWORK,"@115858 @AppleSupport Updated my phone last night (bought it 3 weeks ago), my signal strength has dropped dramatically, infuriating #why?"
IOS,"If you have an @AppleSupport 8s, can you edit pictures on it after taking them? I could before downloaded update."
IOS,"@applesupport iOS 11 (updated, iPad pro 10.5) red-underlines contractions in a number of writing apps I use. Heard of this?"
HARDWARE,@AppleSupport why does my iPhone 7 lock screen keep going blank?! I keep having to restart. #annoyed
HARDWARE,"@AppleSupport Hi there. on a iPhone6, I went from iOS8 (I know..) to 11.0.1. Not happy at all with my battery life. Can I go back to iOS10 ?"
HARDWARE,".@AppleSupport iOS 11.0.2 is killing my battery on iPhone 6s. Overnight, doing nothing, goes down by over 30%. When is the next release?"
HARDWARE,"@AppleSupport My battery drains much faster than before the update. Plus, how do I turn on autoplay on Podcast?"
IOS,"Since the update, my phones freezes and then restarts, whats up with your shit? @115858 @AppleSupport"
HARDWARE,@AppleSupport 11.0.2 on my iPhone SE 64GB. Its funny my friends who have iPhone 8's have no battery drain problems. Unleash bugs to force sales?
COMPLAIN,@AppleSupport No the ringer ?  Was able to adjust a lot easier before this update.
IOS,@AppleSupport Hi. Since the update my phones gone a bit mad. Can I ask how the tuner can be increased without going into sounds ?
APPS,Weird macOS quirk - I haven't been able to install updates to GarageBand for about a year. It always fails. Only GarageBand. @AppleSupport ?
HARDWARE,iOS 11 then started to live on the battery problem. solution? @AppleSupport
HARDWARE,"@AppleSupport I just realized about Staingate, was always mad about my screen on my MBP! But you will replace it?"
HUMAN,@191497 @AppleSupport Did it happen when you reply from the motivation screen? And not from the actual message thread?
NETWORK,"@AppleSupport after days since I updated my iPhone to iOS 11, my iPhone can't connect to wifi. How to fix this?"
IOS,@AppleSupport is there any way to go back to IOS 10 without having backed up before the update? Im having a really slow time with the 11.0.2
IOS,@AppleSupport why after this iOS update my phone has gone to complete shit?
IOS,@AppleSupport I updated my iPhone to the iOS 11.0.2 and now I have no service????
HARDWARE,@AppleSupport when are you guys going to fix the appalling battery issues on iOS 11?
HARDWARE,@AppleSupport The edges of my #iPhone5S screen has become yellow while getting old: is there any recall campaign about it?
IOS,@115858 @AppleSupport Siri has gotten worse not better with new update. She gets everything wrong... even setting timers! What happened?!
IOS,"@123857 @AppleSupport Will next iOS update finally solve disappearing,missing time+date on Lockscreen? Thank you"
IOS,@applesupport when are you going to assist with lost data from recent updates????
HARDWARE,@AppleSupport my phone battery has just gone from 50% - 34% in 15 mins???
HARDWARE,@AppleSupport Could you help with my iPhone battery? Its empty in 22 hours. iPhone 7 Plus
APPS,"@AppleSupport @AppleSupport on iPhone6: since 11.0.2 update apps have been crashing, phone has been freezing and lagging. Have you hired a former Samsung employee recently?"
COMPLAIN,@115858 @AppleSupport Is there a new software update coming soon? All 11 updates to latest one 11.0.2 has made my phone near unuseable #help
COMPLAIN,@AppleSupport @AppleSupport hellooooo how do I disable the automatic brightness?! I hate this update
NETWORK,@AppleSupport If I turn off the WiFi from address bar...it still remain on in the main settings...why?
IOS,Every time I restart my phone the Bluetooth gets enabled on its own! A bug after #ios11update ? @AppleSupport
HARDWARE,@115858 I did the iOS11 update (have iPhone 7) and now my battery life is worse then the iPhone 5.  What happened?  @AppleSupport
IOS,@115858 @AppleSupport @116333 Any update on the wishlist? I had 60+ apps (can't remember them all!) in there and also want to add new ones.
HARDWARE,@AppleSupport  I've got an iPad that says it's charging but seems to be losing battery when it's plugged in. Any ideas?
COMPLAIN,WHY THE FUCK HAVENT THE LIVE PHOTOS I TOOK OF KAYLLA DURING OUR FT SHOWED UP IN MY GALLERY YET?!?!?!? IM TRIGGERED @AppleSupport wtf
NETWORK,Dear @AppleSupport I have some trouble with my iphone 5s with ios 11. I cannot access @193645 @15795 wifi. Can you solve it?
HARDWARE,@AppleSupport my iphone 6 battery is draining a LOT faster under 11.02 than under 11.00 or 11.01 !! What gives?
COMPLAIN,@AppleSupport how do I take off this auto-brightness bullshit that you implemented in the latest update?! I want it to stay where I leave it
NETWORK,@AppleSupport Is there a reason my iPhone 8+ keeps turning the WiFi back on after I turn it off?
IOS,@AppleSupport my wife did IOS update in her IPhone 6 and the ringtone sound no longer works. What can we do to solve the issue?Please advise
HARDWARE,@AppleSupport i had my MacBook screen replaced due to staingate and I believe my new screen could be starting to go funny too?
APPS,I cant update apps on app store. I logged out and now cant login. Is there a problem with it? @AppleSupport
HARDWARE,@AppleSupport why does my battery drain 65% in 7 hrs when not in use?I could go 2 days w/o charging now I have to charge 3 times a day.....
HARDWARE,"@applesupport my ipad air battery only needs 1 or 2 hours to get from 100 to 0 after ios11 update. More people have this, can U fix it ?"
IOS,"@AppleSupport yes updated to new iOS, home button freezing is even worse. How do I go back to IOS 10?????"
HARDWARE,"@115858 @AppleSupport My battery on my iphone 7 doesnt last for half a day after your latest update, why??fully charged at 10 today,30% now"
HARDWARE,@AppleSupport why do I now lose a battery percent per text now after your latest update?
IOS,@AppleSupport bug? ipad airplay to appletv but intermittently attempting to screen mirror (even though deselected) ios 11.0.1 tvos 11.0
HARDWARE,"@AppleSupport hi, what is the warranty on a replacement battery that you all provide?"
HARDWARE,@AppleSupport any news on an update to fix battery usage since iOS 11 dropped?
HARDWARE,@115858 @AppleSupport had the iPhone 8 4 days and a crack has appeared in the middle from the side. No signs of impact anywhere ???
HARDWARE,@AppleSupport what is the fix for the poor battery life after ios 11?
HARDWARE,"@AppleSupport: experiencing reduced battery life / buggy UX experience with #iOS 11.0.2, any updates planned?"
IOS,@AppleSupport @115858 iphone 7 repeatedly freezing and randomly switching off since update?? Anyone else with the same problem??
COMPLAIN,Why the fuck did my phone just delete all of my texts? @AppleSupport
ICLOUD,"@AppleSupport After updatimg my iphone and ipad to iOS11 icloud photo library stoped syncing. No new photos transfered between devices. Any help, please?"
HARDWARE,"@AppleSupport Updated my software yesterday, and my battery drained overnight which it NEVER does - what the heck did you do to my phone??"
COMPLAIN,"@115858 @AppleSupport  yoooo this update has messed my phone up, whats going on?"
IOS,@AppleSupport iPhone 6plus not working properly since the iOS 11.2 update!  Now what?!
IOS,@AppleSupport Attempting to update iPhone 5S to iOS 11.0.2; downloaded but getting error message on installing w/ no further info. Help?
HARDWARE,@AppleSupport why after downloading iOS 11 has my screen become very insensitive ?
APPS,@AppleSupport screen record on ios11 won't record system sounds. Is it a bug?
PURCHASE,"@AppleSupportif i buy a iPhone from Sprint, can i buy Apple Care instead of Asurion?"
IOS,"@AppleSupport My iPhone 7 crashes constantly after iOS 11 update. Apps crash, nothing loads. What is going on?"
HARDWARE,"@AppleSupport Hi, is there any way you could do a battery diagnostic on my battery?"
HARDWARE,Is there a software update in the works that fixes the battery drain of iOS 11? // @AppleSupport @115858
APPS,@AppleSupport needing my bank card details to download free apps and update apps... why?!
COMPLAIN,@AppleSupport any other complaints like these? And any news when they will be repaired in a newer software update?
ICLOUD,"@AppleSupport Why can't I turn off two-factor without having to change all my passwords? Is it because of iCloud? I DON""T USE THAT!"
ICLOUD,@AppleSupport Is there a way to download all my photos and videos from iCloud directly to my iPhone???
HARDWARE,Hey @AppleSupport plzzzzzz help me fix my IPhone 6! New update is killing my battery and lagging my phones performance. What is happening???
HARDWARE,@AppleSupport No my battery was fine until I downloaded IOS 11. Why is this new upgrade draining my battery??
HARDWARE,@198165 @AppleSupport I know right? I already knew about these. My battery went from fine to this download draining it
HARDWARE,@AppleSupport iOS 11 is killing my battery. Drains much quicker. Is something being done to fix this??
HARDWARE,@AppleSupport - my perfectly usable iPhone 6+ has turned unusable - battery decay/heating issues after iOS 11.What to do?
HARDWARE,"@AppleSupport my iPhone 6s Plus battery percentage drops like crazy, anyway to check battery health?"
IOS,"iPhone 7+ updated to iOS 11.0.2:  slow opening apps. freezing, siri not working, wtf? @applesupport 11.0.2"
HARDWARE,@applesupport i feel like iOS 11 is slowing my iPhone 6s down and draining its battery really fast. help?
IOS,@AppleSupport  why my phone says iOS 11.0.2 update requested but not any thing happens?? #helpme
IOS,@AppleSupport my iPhone 7plus has been jacked up ever since I updated to the new iOS. Is the update not really compatible with older models?
HARDWARE,"@AppleSupport since updating 2 ios11 my phone seems slow and battery draining twice as fast, my partners is doing the same as well, is there a fix coming for this?"
HARDWARE,@AppleSupport Hi. 11.0.2 crashing/hanging my 6S plus.  Happening often + phone is unusable for ~5 mins + Battery is v bad. Fix soon?
ICLOUD,"@AppleSupport Hey, just remembered my .Mac account and it still works, anyway to merge it with my current iCloud account?"
ICLOUD,@AppleSupport I need help putting my iCloud account on an iPhone can someone help please?
IOS,@AppleSupport iOS 11 is complete bullshit!!! Too many bugs! Eats up charge in no time! WhatsApp notifications are not coming! What the hell?
NETWORK,@AppleSupport Expected behaviour ??  We wish that the wifi and Bluetooth actually switched off when used in Control Center !
NETWORK,"@AppleSupport Does the new iwatch Series 3 support major networks like Airtel, Vodafone in India?"
PURCHASE,@AppleSupport Thanks! That means I can use my Watch 3 within U.K. And US if I change provider? No matter where I buy it... am I right?
COMPLAIN,@AppleSupport : Why do some of the iMessages disappear from the chat? I lost all history for once contact.
IOS,"@AppleSupport Hi, any way to revert to ios10? This god awful update has made my phone so fucking slow AND it looks ugly. Change pls"
APPS,@AppleSupport if I manually adjust the screen brightness for a little will it go back to auto brightness on its own?
IOS,"@AppleSupport WTH did you DO? 11.0.2 is a mess, I've lost a lot, done factory reset, when are you going to correct this? HORRIBLE!! :("
HARDWARE,"updated @AppleSupport 11.2 last night, plugged it in over night. was almost dead. Woke up unplugged and 3 hours later dead batt! Wtf!??"
IOS,@AppleSupport I have just told you I updated twice this week which explains I am on the latest update?! 11.0.2!
COMPLAIN,"@AppleSupport  DISAPPOINTED IN ITUNES UPDATES. First on the latest, why doesn't all history show up in history? Anything you play should!"
HARDWARE,@AppleSupport you killed my battery life with iOS 11. Is this how you force people to spend hundreds of dollars on a new iPhone? #notcool
IOS,@AppleSupport he new IOS update has been sluggish. Will it be fixed soon?
HARDWARE,@AppleSupport Howdy. I will be upgrading my 7 to the X very early in the morning on the 27th. Will there be an Apple battery case for the X eventually?
NETWORK,@AppleSupport I want to completely turn off wifi on control panel. Is there any setting? It seems I can do so only by setting apps...
NETWORK,@AppleSupport since I updated to iOS 11.0.2 I have no WiFi. When will this problem be fixed?
IOS,@AppleSupport my iPhone 8+ is set to auto lock at 1min but it never does. The screen just stays in until I lock it????
HARDWARE,"Dear @AppleSupport, when you gonna fix this terrible iOS11 that eats my iPhone 6s battery for breakfast?"
IOS,@AppleSupport OK thanks. with iOS 11 update my iPhone is very slow !! How do I upgrade to iOS 11.1 beta?
HARDWARE,"Is s possible to  Uninstall IOS 11 from I Pad, it drainss the battery way too quickly @AppleSupport ?"
HARDWARE,Just did the iPhone software update 11.0.2 and my battery drains twice as fast now! Wtf?! @AppleSupport #iOS11
HARDWARE,@AppleSupport iPhone 7 iOS 11.1 battery from 100% to 56% in 30 mins? How? Please fix this issue and release new update #apple #battery
COMPLAIN,@AppleSupport Anybody else experiencing signal loss on the iPhone 8s after the latest iOS 11.2 update?
HARDWARE,@AppleSupport upgraded to iOS11.02 and watched my battery plummet from 50% to 2% in less than 10 minutes! Hope this is being sorted?!
IOS,"Dear @AppleSupport My iphone6S does not like IOS11 11.01 or 11.02.  It's glitchy, apps don't open, my lock screen freezes and goes black and everything is basically on a 5 second delay. Siri is slower than dirt. It is annoying.  Any suggestions? #iOS11 #ios11update @115858"
IOS,@AppleSupport this update has ruined my phone is it possible to downgrade?
ICLOUD,"@AppleSupport Why every time I start my iMac, it asks me to sign my iCloud account, I do it and it ask once more, and again, and again...???"
NETWORK,@AppleSupport So you telling me that I have to open my settings to fully toggle off WiFi? Thanks for going backwards.
HARDWARE,@AppleSupport any fixes for the degraded battery life stemming from the iOS 11 software updates?
HARDWARE,@AppleSupport battery life since installing iOS 11.1 is atrocious. How do I fix? Unable to use phone for more than 4 hours.
IOS,"@AppleSupport iOS 11 is making my phone Run slow removes the text bar in iMessages, my home screen is messed up. Can I go back to 10 ?"
NETWORK,@AppleSupport why does the command center only disconnect Bluetooth/WiFi and not turn it the hell off? Fix iOS 11 please.
APPS,@AppleSupport How do I add podcasts back to my #iPhone7Plus control center? #helpplease #apple #ios11update
APPS,"After I updated to iOS 11, all of my safari bookmarks deleted ??? @AppleSupport"
HARDWARE,@AppleSupport Any reason why the battery life is so poor? It's only 6 months old.
